TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	Rep	Test
1667_0.8_0.4_MULT5_0.25_0.5	9877	0.8	0.4	"983,941,750,509,430,360,248,724,417"	0.25	0.5	3	50
9361_0.8_0.4_MULT5_0.25_0.5	782	0.8	0.4	"983,941,750,509,430,360,248,724,417"	0.25	0.5	4	50
1082_0.8_0.4_MULT5_0.25_0.5	8151	0.8	0.4	"983,941,750,509,430,360,248,724,417"	0.25	0.5	5	50
9171_0.8_0.4_MULT6_0.25_0.5	9871	0.8	0.4	"949,374,647,644,836,757,877,235,415"	0.25	0.5	1	51
4823_0.8_0.4_MULT6_0.25_0.5	5887	0.8	0.4	"949,374,647,644,836,757,877,235,415"	0.25	0.5	2	51
6759_0.8_0.4_MULT6_0.25_0.5	9364	0.8	0.4	"949,374,647,644,836,757,877,235,415"	0.25	0.5	3	51
2330_0.8_0.4_MULT6_0.25_0.5	7969	0.8	0.4	"949,374,647,644,836,757,877,235,415"	0.25	0.5	4	51
2928_0.8_0.4_MULT6_0.25_0.5	5100	0.8	0.4	"949,374,647,644,836,757,877,235,415"	0.25	0.5	5	51
4801_0.8_0.4_MULT7_0.25_0.5	759	0.8	0.4	"956,987,51,778,863,225,822,806,164"	0.25	0.5	1	52
6289_0.8_0.4_MULT7_0.25_0.5	6438	0.8	0.4	"956,987,51,778,863,225,822,806,164"	0.25	0.5	2	52
272_0.8_0.4_MULT7_0.25_0.5	1704	0.8	0.4	"956,987,51,778,863,225,822,806,164"	0.25	0.5	3	52
3257_0.8_0.4_MULT7_0.25_0.5	5045	0.8	0.4	"956,987,51,778,863,225,822,806,164"	0.25	0.5	4	52
2851_0.8_0.4_MULT7_0.25_0.5	5232	0.8	0.4	"956,987,51,778,863,225,822,806,164"	0.25	0.5	5	52
2192_0.8_0.4_MULT8_0.25_0.5	1563	0.8	0.4	"562,98,163,130,462,626,664,929,521"	0.25	0.5	1	53
4005_0.8_0.4_MULT8_0.25_0.5	3967	0.8	0.4	"562,98,163,130,462,626,664,929,521"	0.25	0.5	2	53
5390_0.8_0.4_MULT8_0.25_0.5	354	0.8	0.4	"562,98,163,130,462,626,664,929,521"	0.25	0.5	3	53
9662_0.8_0.4_MULT8_0.25_0.5	6992	0.8	0.4	"562,98,163,130,462,626,664,929,521"	0.25	0.5	4	53
1113_0.8_0.4_MULT8_0.25_0.5	718	0.8	0.4	"562,98,163,130,462,626,664,929,521"	0.25	0.5	5	53
41_0.8_0.4_MULT9_0.25_0.5	503	0.8	0.4	"167,817,535,739,224,619,333,825,395"	0.25	0.5	1	54
9885_0.8_0.4_MULT9_0.25_0.5	4383	0.8	0.4	"167,817,535,739,224,619,333,825,395"	0.25	0.5	2	54
3942_0.8_0.4_MULT9_0.25_0.5	5478	0.8	0.4	"167,817,535,739,224,619,333,825,395"	0.25	0.5	3	54
6265_0.8_0.4_MULT9_0.25_0.5	6255	0.8	0.4	"167,817,535,739,224,619,333,825,395"	0.25	0.5	4	54
9279_0.8_0.4_MULT9_0.25_0.5	5969	0.8	0.4	"167,817,535,739,224,619,333,825,395"	0.25	0.5	5	54
